Course code,Study period,Academic year,Instance_id,Examiner
1204,1.0,2013-2014,I-1,19610918-0027
1082,3.0,2013-2014,I-2,19620522-0023
1190,4.0,2013-2014,I-3,19560705-0025
1009,3.0,2013-2014,I-4,19600529-0021
1264,4.0,2013-2014,I-5,19570828-0008
1161,2.0,2013-2014,I-6,19630126-0001
1076,4.0,2013-2014,I-7,19660630-0020
1055,3.0,2013-2014,I-8,19601021-0018
1048,3.0,2013-2014,I-9,19690408-0009
1007,4.0,2013-2014,I-10,19590129-0004
1124,1.0,2014-2015,I-11,19620831-0024
1019,1.0,2014-2015,I-12,19620424-0026
1193,1.0,2014-2015,I-13,19630126-0001
1108,4.0,2014-2015,I-14,19680712-0028
1063,3.0,2014-2015,I-15,19601021-0018
1050,3.0,2014-2015,I-16,19580218-0007
1256,3.0,2014-2015,I-17,19660630-0020
1240,4.0,2014-2015,I-18,19560612-0010
1159,3.0,2014-2015,I-19,19620424-0026
1107,3.0,2014-2015,I-20,19560705-0025
1068,3.0,2014-2015,I-21,19560612-0010
1048,1.0,2014-2015,I-22,19690917-0022
1256,4.0,2015-2016,I-23,19650303-0019
1251,2.0,2015-2016,I-24,19690408-0009
1269,2.0,2015-2016,I-25,19570828-0008
1200,1.0,2015-2016,I-26,19650303-0019
1290,4.0,2015-2016,I-27,19620424-0026
1197,3.0,2015-2016,I-28,19690408-0009
1147,3.0,2015-2016,I-29,19600905-0003
1123,3.0,2015-2016,I-30,19680712-0028
1052,3.0,2015-2016,I-31,19690917-0022
1186,3.0,2016-2017,I-32,19600814-0002
1102,4.0,2016-2017,I-33,19570828-0008
1227,1.0,2016-2017,I-34,19620522-0023
1089,2.0,2016-2017,I-35,19640220-0029
1084,4.0,2016-2017,I-36,19650303-0019
1021,1.0,2016-2017,I-37,19570828-0008
1252,4.0,2016-2017,I-38,19650303-0019
1172,3.0,2016-2017,I-39,19570826-0012
1158,3.0,2016-2017,I-40,19620831-0024
1091,4.0,2016-2017,I-41,19640220-0029
1045,1.0,2016-2017,I-42,19600814-0002
1272,3.0,2017-2018,I-43,19600905-0003
1248,3.0,2017-2018,I-44,19610620-0006
1232,3.0,2017-2018,I-45,19560612-0010
1006,1.0,2017-2018,I-46,19611219-0014
1241,3.0,2017-2018,I-47,19561222-0030
1215,2.0,2017-2018,I-48,19690408-0009
1090,2.0,2017-2018,I-49,19601021-0018
1085,1.0,2017-2018,I-50,19580515-0017
1082,3.0,2017-2018,I-51,19690408-0009
1033,1.0,2017-2018,I-52,19561222-0030
1144,3.0,2018-2019,I-53,19650303-0019
1250,1.0,2018-2019,I-54,19690513-0015
1243,2.0,2018-2019,I-55,19620522-0023
1147,2.0,2018-2019,I-56,19640220-0029
1133,1.0,2018-2019,I-57,19620831-0024
1239,3.0,2018-2019,I-58,19690408-0009
1220,1.0,2018-2019,I-59,19620424-0026
1178,3.0,2018-2019,I-60,19690408-0009
1168,2.0,2018-2019,I-61,19580218-0007
1078,2.0,2018-2019,I-62,19580218-0007
1027,3.0,2018-2019,I-63,19601021-0018
1157,3.0,2019-2020,I-64,19570826-0012
1244,2.0,2019-2020,I-65,19690917-0022
1183,3.0,2019-2020,I-66,19650303-0019
1108,2.0,2019-2020,I-67,19560812-0016
1267,2.0,2019-2020,I-68,19611219-0014
1250,4.0,2019-2020,I-69,19640220-0029
1246,3.0,2019-2020,I-70,19620831-0024
1135,1.0,2019-2020,I-71,19560812-0016
1099,2.0,2019-2020,I-72,19610620-0006
1284,2.0,2020-2021,I-73,19600814-0002
1239,1.0,2020-2021,I-74,19601021-0018
1155,1.0,2020-2021,I-75,19570615-0011
1130,4.0,2020-2021,I-76,19560812-0016
1278,4.0,2020-2021,I-77,19600905-0003
1204,1.0,2020-2021,I-78,19690408-0009
1092,2.0,2020-2021,I-79,19690917-0022
1060,4.0,2020-2021,I-80,19611219-0014
1203,2.0,2021-2022,I-81,19600905-0003
1086,3.0,2021-2022,I-82,19560705-0025
1180,2.0,2021-2022,I-83,19560705-0025
1167,2.0,2021-2022,I-84,19650303-0019
1136,2.0,2021-2022,I-85,19590129-0004
1048,1.0,2021-2022,I-86,19690917-0022
1194,2.0,2021-2022,I-87,19570828-0008
1079,1.0,2021-2022,I-88,19640220-0029
1054,4.0,2021-2022,I-89,19570826-0012
1043,2.0,2021-2022,I-90,19560612-0010
1006,4.0,2021-2022,I-91,19580218-0007
1263,1.0,2022-2023,I-92,19580515-0017
1282,3.0,2022-2023,I-93,19620424-0026
1170,3.0,2022-2023,I-94,19570828-0008
1098,4.0,2022-2023,I-95,19611219-0014
1005,4.0,2022-2023,I-96,19590129-0004
1255,3.0,2022-2023,I-97,19660630-0020
1222,3.0,2022-2023,I-98,19611219-0014
1178,3.0,2022-2023,I-99,19680712-0028
1088,1.0,2022-2023,I-100,19650303-0019
1070,3.0,2022-2023,I-101,19601021-0018
1067,2.0,2022-2023,I-102,19580515-0017
1014,3.0,2023-2024,I-103,19561222-0030
1299,4.0,2023-2024,I-104,19630126-0001
1296,2.0,2023-2024,I-105,19570828-0008
1132,3.0,2023-2024,I-106,19590129-0004
1046,2.0,2023-2024,I-107,19570615-0011
1289,2.0,2023-2024,I-108,19610620-0006
1223,1.0,2023-2024,I-109,19650303-0019
