Course Instance,Student id,Status,Grade
I-1494,19860309-0002,completed,3.0
I-3997,19860309-0002,completed,4.0
I-658,19860309-0002,completed,3.0
I-1499,19860309-0002,completed,4.0
I-1496,19860309-0002,completed,4.0
I-433,19860309-0002,completed,3.0
I-1500,19860309-0002,completed,4.0
I-1289,19860309-0002,completed,4.0
I-1074,19860309-0002,completed,4.0
I-1607,19860309-0002,completed,3.0
I-871,19860309-0002,completed,3.0
I-1608,19860309-0002,completed,5.0
I-3697,19860309-0002,completed,5.0
I-1922,19850305-0003,completed,5.0
I-1199,19850305-0003,completed,5.0
I-1924,19850305-0003,completed,3.0
I-2658,19850305-0003,completed,3.0
I-2037,19850305-0003,completed,5.0
I-2038,19850305-0003,completed,5.0
I-2040,19850305-0003,completed,3.0
I-2041,19850305-0003,completed,4.0
I-2039,19850305-0003,completed,5.0
I-2044,19850305-0003,completed,5.0
I-2993,19850305-0003,completed,4.0
I-5074,19850305-0003,completed,5.0
I-1204,19850305-0003,completed,3.0
I-2042,19850305-0003,completed,3.0
I-2156,19850305-0003,completed,3.0
I-2157,19850305-0003,completed,5.0
I-2159,19850305-0003,completed,4.0
I-153,19850305-0003,completed,3.0
I-4834,19860211-0004,completed,5.0
I-2956,19860211-0004,completed,5.0
I-4623,19860211-0004,completed,3.0
I-2119,19860211-0004,completed,5.0
I-2957,19860211-0004,completed,3.0
I-1385,19860211-0004,completed,4.0
I-2966,19860211-0004,completed,3.0
I-2965,19860211-0004,completed,5.0
I-2964,19860211-0004,completed,4.0
I-1694,19860211-0004,completed,4.0
I-3576,19880122-0005,completed,5.0
I-3578,19880122-0005,completed,3.0
I-327,19880122-0005,completed,5.0
I-3582,19880122-0005,completed,4.0
I-4011,19880122-0005,completed,4.0
I-342,19880122-0005,completed,3.0
I-238,19880122-0005,completed,5.0
I-1923,19880122-0005,completed,3.0
I-2636,19850603-0006,completed,3.0
I-2637,19850603-0006,completed,3.0
I-2638,19850603-0006,completed,5.0
I-4941,19850603-0006,completed,3.0
I-2233,19850603-0006,completed,4.0
I-2756,19850603-0006,completed,4.0
I-2759,19850603-0006,completed,3.0
I-2761,19850603-0006,completed,3.0
I-5166,19860222-0007,completed,5.0
I-2447,19860222-0007,completed,3.0
I-3786,19860222-0007,completed,4.0
I-1606,19860222-0007,completed,4.0
I-5378,19860222-0007,completed,5.0
I-3897,19860222-0007,completed,5.0
