Course code,Teacher Id,Hours
I-1,19620522-0023,227.0
I-1,19790708-0041,115.0
I-1,19930221-0139,157.0
I-2,19690408-0009,281.0
I-2,19750220-0037,115.0
I-2,19921201-0094,112.0
I-3,19570826-0012,253.0
I-3,19790702-0038,146.0
I-4,19690513-0015,224.0
I-4,19750705-0033,135.0
I-5,19610623-0005,248.0
I-5,19780424-0057,140.0
I-5,19920206-0072,100.0
I-6,19640220-0029,228.0
I-6,19790618-0048,128.0
I-6,19910927-0128,157.0
I-7,19630126-0001,221.0
I-7,19790702-0038,157.0
I-7,19910214-0084,101.0
I-8,19620831-0024,235.0
I-8,19760108-0050,89.0
I-8,19931231-0099,107.0
I-9,19570826-0012,246.0
I-9,19760524-0046,116.0
I-10,19600814-0002,252.0
I-10,19780424-0057,84.0
I-10,19911116-0069,157.0
I-11,19620522-0023,241.0
I-11,19750220-0037,140.0
I-11,19930709-0100,141.0
I-12,19640220-0029,265.0
I-12,19790708-0041,109.0
I-13,19570615-0011,255.0
I-13,19771013-0040,146.0
I-14,19620831-0024,272.0
I-14,19750417-0051,136.0
I-15,19590129-0004,251.0
I-15,19750906-0032,113.0
I-16,19620831-0024,254.0
I-16,19780317-0052,103.0
I-17,19610620-0006,225.0
I-17,19790717-0045,123.0
I-18,19590129-0004,276.0
I-18,19781130-0054,117.0
I-18,19920206-0072,136.0
I-19,19561222-0030,239.0
I-19,19780602-0035,108.0
I-19,19900211-0140,104.0
I-20,19640414-0013,265.0
I-20,19781217-0053,143.0
I-20,19900902-0114,123.0
I-21,19620424-0026,268.0
I-21,19780317-0052,110.0
I-21,19931231-0099,121.0
I-22,19601021-0018,255.0
I-22,19750722-0060,152.0
I-22,19920217-0098,125.0
I-23,19680712-0028,240.0
I-23,19760524-0046,120.0
I-24,19610623-0005,299.0
I-24,19750122-0056,109.0
I-24,19921127-0120,144.0
I-25,19560812-0016,260.0
I-25,19761020-0044,122.0
I-25,19920122-0065,84.0
I-26,19680712-0028,297.0
I-26,19781130-0054,132.0
I-27,19610620-0006,297.0
I-27,19750906-0032,140.0
I-28,19620522-0023,265.0
I-28,19781130-0054,119.0
I-28,19921002-0129,124.0
I-29,19560812-0016,245.0
I-29,19751018-0039,109.0
I-29,19901029-0071,106.0
I-30,19600814-0002,287.0
I-30,19790426-0049,147.0
I-31,19560705-0025,250.0
I-31,19790702-0038,108.0
I-31,19900701-0113,156.0
I-32,19610918-0027,298.0
I-32,19761024-0034,96.0
I-33,19660630-0020,227.0
I-33,19781217-0053,119.0
I-34,19660630-0020,254.0
I-34,19750331-0036,115.0
I-35,19690408-0009,271.0
I-35,19770713-0042,100.0
I-36,19601021-0018,261.0
I-36,19790618-0048,114.0
I-37,19680712-0028,272.0
I-37,19790618-0048,84.0
I-38,19610623-0005,273.0
I-38,19781125-0031,118.0
I-39,19600529-0021,258.0
I-39,19761024-0034,136.0
I-39,19921123-0108,102.0
I-40,19680712-0028,242.0
I-40,19750417-0051,133.0
I-41,19590129-0004,277.0
I-41,19750122-0056,138.0
I-41,19920826-0088,116.0
I-42,19600529-0021,272.0
I-42,19781217-0053,114.0
I-43,19611219-0014,241.0
I-43,19750705-0033,153.0
I-43,19930512-0117,119.0
I-44,19611219-0014,267.0
I-44,19780815-0047,139.0
I-45,19640414-0013,224.0
I-45,19750331-0036,93.0
I-45,19910403-0131,104.0
I-46,19650303-0019,280.0
I-46,19750331-0036,103.0
I-47,19690513-0015,278.0
I-47,19780815-0047,121.0
I-48,19600814-0002,284.0
I-48,19751018-0039,120.0
I-49,19560612-0010,291.0
I-49,19770224-0058,87.0
I-49,19930616-0127,149.0
I-50,19560612-0010,250.0
I-50,19750102-0059,133.0
I-51,19560705-0025,240.0
I-51,19761009-0055,121.0
I-52,19610918-0027,259.0
I-52,19790426-0049,87.0
I-52,19910101-0133,137.0
I-53,19680712-0028,278.0
I-53,19790702-0038,141.0
I-53,19911116-0069,131.0
I-54,19690513-0015,221.0
I-54,19760524-0046,124.0
I-54,19931118-0062,129.0
I-55,19680712-0028,273.0
I-55,19750705-0033,132.0
I-56,19570826-0012,241.0
I-56,19760524-0046,85.0
I-56,19920505-0115,103.0
I-57,19640220-0029,233.0
I-57,19780602-0035,155.0
I-58,19561222-0030,271.0
I-58,19790426-0049,158.0
I-59,19630126-0001,231.0
I-59,19780815-0047,96.0
I-59,19920505-0115,129.0
I-60,19600529-0021,252.0
I-60,19761020-0044,144.0
I-61,19610918-0027,275.0
I-61,19750331-0036,154.0
I-62,19650303-0019,224.0
I-62,19790618-0048,137.0
I-62,19930709-0100,108.0
I-63,19640414-0013,248.0
I-63,19770713-0042,131.0
I-64,19690408-0009,261.0
I-64,19761009-0055,137.0
I-65,19560812-0016,242.0
I-65,19781130-0054,120.0
I-66,19620424-0026,283.0
I-66,19790702-0038,124.0
I-67,19620831-0024,274.0
I-67,19761009-0055,127.0
I-68,19610918-0027,256.0
I-68,19760108-0050,120.0
I-69,19610918-0027,246.0
I-69,19790717-0045,115.0
I-69,19930829-0082,101.0
I-70,19600529-0021,271.0
I-70,19781125-0031,91.0
I-70,19900520-0063,133.0
I-71,19601021-0018,260.0
I-71,19761024-0034,106.0
I-71,19900909-0123,117.0
I-72,19610918-0027,246.0
I-72,19760108-0050,121.0
I-72,19920602-0073,100.0
I-73,19690513-0015,295.0
I-73,19790426-0049,141.0
I-73,19920320-0121,158.0
I-74,19561222-0030,269.0
I-74,19750331-0036,147.0
I-74,19930829-0082,131.0
I-75,19620424-0026,281.0
I-75,19760524-0046,117.0
I-75,19920828-0070,84.0
I-76,19580218-0007,265.0
I-76,19761009-0055,97.0
I-76,19911025-0091,131.0
I-77,19660630-0020,251.0
I-77,19781130-0054,113.0
I-78,19560812-0016,282.0
I-78,19750512-0043,136.0
I-79,19640220-0029,254.0
I-79,19770713-0042,140.0
I-80,19580218-0007,296.0
I-80,19750722-0060,100.0
I-81,19561222-0030,295.0
I-81,19770713-0042,133.0
I-82,19560705-0025,278.0
I-82,19771013-0040,137.0
I-82,19920320-0121,101.0
I-83,19610620-0006,248.0
I-83,19780602-0035,133.0
I-83,19911025-0091,102.0
I-84,19660630-0020,277.0
I-84,19750122-0056,99.0
I-85,19560705-0025,258.0
I-85,19790702-0038,139.0
I-85,19910927-0128,126.0
I-86,19570615-0011,260.0
I-86,19780815-0047,145.0
I-87,19610918-0027,264.0
I-87,19780424-0057,133.0
I-88,19600905-0003,265.0
I-88,19751018-0039,108.0
I-88,19931231-0099,153.0
I-89,19620522-0023,246.0
I-89,19761024-0034,124.0
I-89,19930829-0082,128.0
I-90,19620831-0024,290.0
I-90,19780815-0047,123.0
I-90,19910206-0081,131.0
I-91,19680712-0028,248.0
I-91,19780424-0057,109.0
I-91,19900520-0063,126.0
I-92,19640220-0029,266.0
I-92,19781217-0053,123.0
I-93,19580515-0017,250.0
I-93,19761020-0044,81.0
I-94,19630126-0001,276.0
I-94,19790708-0041,116.0
I-94,19900317-0083,122.0
I-95,19690513-0015,230.0
I-95,19751018-0039,150.0
I-95,19901002-0085,98.0
I-96,19560812-0016,277.0
I-96,19780317-0052,132.0
I-96,19900317-0083,125.0
I-97,19640414-0013,296.0
I-97,19750906-0032,113.0
I-97,19930508-0061,107.0
I-98,19650303-0019,242.0
I-98,19750417-0051,93.0
I-99,19580218-0007,295.0
I-99,19750906-0032,139.0
I-100,19680712-0028,260.0
I-100,19750331-0036,111.0
I-101,19580218-0007,286.0
I-101,19780602-0035,130.0
I-101,19930326-0132,132.0
I-102,19570615-0011,237.0
I-102,19770713-0042,96.0
I-103,19650303-0019,259.0
I-103,19760108-0050,112.0
I-103,19930919-0137,103.0
I-104,19650303-0019,282.0
I-104,19751018-0039,157.0
I-104,19921218-0101,110.0
I-105,19650303-0019,264.0
I-105,19761009-0055,110.0
I-106,19610918-0027,276.0
I-106,19790426-0049,97.0
I-106,19920122-0065,100.0
I-107,19600529-0021,265.0
I-107,19750331-0036,121.0
I-108,19590129-0004,244.0
I-108,19761009-0055,95.0
I-109,19570826-0012,277.0
I-109,19790717-0045,135.0
I-110,19570828-0008,278.0
I-110,19750417-0051,124.0
I-110,19920122-0065,91.0
I-111,19600529-0021,292.0
I-111,19750512-0043,148.0
I-111,19900616-0124,101.0
I-112,19561222-0030,263.0
I-112,19750417-0051,157.0
I-112,19910404-0102,136.0
I-113,19690917-0022,248.0
I-113,19760524-0046,88.0
I-114,19620522-0023,240.0
I-114,19760524-0046,123.0
I-115,19640414-0013,261.0
I-115,19770224-0058,126.0
I-115,19900511-0134,120.0
I-116,19560812-0016,278.0
I-116,19781217-0053,101.0
I-117,19601021-0018,290.0
I-117,19781217-0053,93.0
I-117,19921127-0120,82.0
I-118,19611219-0014,262.0
I-118,19790426-0049,113.0
I-118,19921123-0108,139.0
I-119,19610623-0005,262.0
I-119,19780317-0052,119.0
I-119,19930919-0137,159.0
I-120,19690513-0015,248.0
I-120,19781217-0053,100.0
I-121,19640220-0029,282.0
I-121,19780317-0052,122.0
I-121,19920826-0088,122.0
I-122,19690917-0022,254.0
I-122,19790702-0038,121.0
I-122,19920316-0107,123.0
I-123,19660630-0020,247.0
I-123,19790702-0038,121.0
I-124,19580218-0007,297.0
I-124,19760524-0046,123.0
I-124,19930228-0086,94.0
I-125,19561222-0030,226.0
I-125,19750906-0032,104.0
I-125,19921208-0097,151.0
I-126,19570828-0008,260.0
I-126,19781130-0054,151.0
I-126,19900128-0095,134.0
I-127,19590129-0004,246.0
I-127,19761020-0044,86.0
I-128,19570826-0012,275.0
I-128,19780424-0057,123.0
I-128,19901219-0125,104.0
I-129,19560812-0016,282.0
I-129,19770713-0042,89.0
I-129,19931118-0062,129.0
I-130,19610623-0005,277.0
I-130,19790618-0048,128.0
I-131,19640414-0013,270.0
I-131,19790708-0041,84.0
I-131,19921208-0097,147.0
I-132,19560812-0016,252.0
I-132,19770713-0042,101.0
I-132,19910514-0068,98.0
I-133,19570826-0012,243.0
I-133,19760108-0050,156.0
I-133,19930228-0086,135.0
I-134,19650303-0019,279.0
I-134,19771013-0040,109.0
I-134,19910822-0122,134.0
I-135,19690513-0015,222.0
I-135,19780317-0052,124.0
I-135,19900723-0126,113.0
I-136,19650303-0019,249.0
I-136,19750417-0051,106.0
I-137,19690917-0022,261.0
I-137,19781130-0054,125.0
I-138,19610623-0005,298.0
I-138,19760108-0050,85.0
I-139,19560812-0016,274.0
I-139,19780602-0035,102.0
I-140,19560812-0016,224.0
I-140,19780317-0052,88.0
I-141,19640414-0013,243.0
I-141,19750331-0036,86.0
I-141,19931226-0118,90.0
I-142,19590129-0004,220.0
I-142,19760108-0050,83.0
I-143,19650303-0019,220.0
I-143,19750906-0032,91.0
I-144,19660630-0020,273.0
I-144,19750705-0033,103.0
I-145,19600529-0021,222.0
I-145,19750906-0032,95.0
I-146,19580218-0007,244.0
I-146,19780424-0057,102.0
I-147,19560812-0016,255.0
I-147,19750331-0036,106.0
I-147,19920226-0075,126.0
I-148,19640414-0013,284.0
I-148,19790426-0049,144.0
I-148,19910514-0068,120.0
I-149,19610623-0005,263.0
I-149,19750512-0043,154.0
I-150,19561222-0030,275.0
I-150,19750122-0056,89.0
I-151,19680712-0028,248.0
I-151,19751018-0039,94.0
I-152,19611219-0014,292.0
I-152,19780317-0052,131.0
I-152,19920504-0093,111.0
I-153,19580515-0017,252.0
I-153,19750705-0033,135.0
I-154,19610620-0006,250.0
I-154,19761009-0055,112.0
I-154,19910101-0133,150.0
I-155,19570826-0012,285.0
I-155,19790702-0038,159.0
I-155,19910927-0128,126.0
I-156,19600814-0002,255.0
I-156,19761024-0034,85.0
I-156,19910421-0067,134.0
I-157,19560612-0010,293.0
I-157,19750417-0051,103.0
I-158,19570615-0011,225.0
I-158,19750906-0032,158.0
I-159,19580218-0007,279.0
I-159,19790618-0048,121.0
I-159,19931203-0066,123.0
I-160,19570615-0011,260.0
I-160,19750122-0056,143.0
I-161,19570826-0012,281.0
I-161,19760524-0046,98.0
I-161,19900701-0138,155.0
I-162,19640414-0013,237.0
I-162,19750906-0032,121.0
I-163,19561222-0030,297.0
I-163,19781217-0053,102.0
I-164,19600814-0002,288.0
I-164,19750102-0059,110.0
I-165,19650303-0019,243.0
I-165,19750705-0033,134.0
I-165,19900317-0083,122.0
I-166,19610918-0027,235.0
I-166,19751018-0039,107.0
I-167,19580515-0017,246.0
I-167,19770713-0042,136.0
I-167,19920602-0073,115.0
I-168,19570828-0008,267.0
I-168,19750722-0060,131.0
I-169,19640414-0013,265.0
I-169,19771013-0040,120.0
I-170,19610918-0027,276.0
I-170,19780317-0052,128.0
