Student name,Student id,Programme,Year,Graduated
Student 1,19970308-0000,10054,2017,False
Student 2,19960213-0001,10011,2016,False
Student 3,19960328-0002,10013,2019,False
Student 4,19980905-0003,10012,2021,False
Student 5,19970413-0004,10052,2017,False
Student 6,19990816-0005,10021,2021,False
Student 7,19990626-0006,10074,2020,False
Student 8,19950304-0007,10071,2019,False
Student 9,19991025-0008,10033,2018,False
Student 10,19950606-0009,10042,2019,False
Student 11,19951026-0010,10011,2021,False
Student 12,19990305-0011,10041,2020,False
Student 13,19970727-0012,10052,2020,False
Student 14,19990219-0013,10012,2017,False
Student 15,19970318-0014,10051,2016,False
Student 16,19970109-0015,10021,2016,False
Student 17,19950717-0016,10042,2016,False
Student 18,19990705-0017,10053,2019,False
Student 19,19971007-0018,10072,2018,False
Student 20,19990124-0019,10041,2017,False
Student 21,19990831-0020,10061,2016,False
Student 22,19971122-0021,10054,2021,False
Student 23,19980414-0022,10073,2016,False
Student 24,19980609-0023,10042,2016,False
Student 25,19980212-0024,10042,2016,False
Student 26,19990805-0025,10051,2017,False
Student 27,19970609-0026,10061,2016,False
Student 28,19951123-0027,10073,2016,False
Student 29,19960701-0028,10021,2019,False
Student 30,19960220-0029,10061,2016,False
Student 31,19990211-0030,10051,2021,False
Student 32,19961018-0031,10041,2019,False
Student 33,19960307-0032,10034,2018,False
Student 34,19960822-0033,10014,2021,False
Student 35,19961012-0034,10042,2021,False
Student 36,19960610-0035,10032,2016,False
Student 37,19990302-0036,10061,2020,False
Student 38,19950801-0037,10072,2018,False
Student 39,19960222-0038,10051,2021,False
Student 40,19960828-0039,10031,2021,False
Student 41,19960118-0040,10012,2020,False
Student 42,19980206-0041,10012,2016,False
Student 43,19991130-0042,10074,2018,False
Student 44,19981023-0043,10041,2020,False
Student 45,19950824-0044,10033,2019,False
Student 46,19961220-0045,10012,2020,False
Student 47,19950308-0046,10041,2018,False
Student 48,19990824-0047,10071,2016,False
Student 49,19970301-0048,10034,2018,False
Student 50,19980102-0049,10014,2021,False
Student 51,19970918-0050,10061,2021,False
Student 52,19981214-0051,10072,2020,False
Student 53,19970721-0052,10041,2019,False
Student 54,19951006-0053,10071,2017,False
Student 55,19990720-0054,10033,2016,False
Student 56,19971008-0055,10032,2017,False
Student 57,19980524-0056,10072,2020,False
Student 58,19961122-0057,10013,2019,False
Student 59,19950522-0058,10031,2021,False
Student 60,19970711-0059,10034,2021,False
Student 61,19950829-0060,10021,2016,False
Student 62,19980221-0061,10054,2019,False
Student 63,19960928-0062,10033,2021,False
Student 64,19950319-0063,10053,2019,False
Student 65,19970309-0064,10001,2021,False
Student 66,19960315-0065,10073,2019,False
Student 67,19980425-0066,10054,2018,False
Student 68,19960924-0067,10021,2018,False
Student 69,19951121-0068,10014,2019,False
Student 70,19980719-0069,10061,2020,False
Student 71,19950124-0070,10054,2018,False
Student 72,19990301-0071,10042,2018,False
Student 73,19990313-0072,10051,2016,False
Student 74,19990702-0073,10041,2016,False
Student 75,19950309-0074,10031,2018,False
Student 76,19990711-0075,10012,2020,False
Student 77,19961023-0076,10033,2021,False
Student 78,19981204-0077,10001,2019,False
Student 79,19960414-0078,10033,2016,False
Student 80,19950404-0079,10033,2018,False
Student 81,19950321-0080,10042,2018,False
Student 82,19970428-0081,10054,2021,False
Student 83,19980418-0082,10013,2016,False
Student 84,19970820-0083,10041,2017,False
Student 85,19950907-0084,10021,2020,False
Student 86,19950703-0085,10061,2016,False
Student 87,19961124-0086,10032,2021,False
Student 88,19980805-0087,10071,2019,False
Student 89,19970721-0088,10061,2017,False
Student 90,19970904-0089,10011,2016,False
Student 91,19960609-0090,10014,2018,False
Student 92,19990918-0091,10073,2019,False
Student 93,19980925-0092,10074,2017,False
Student 94,19960227-0093,10071,2021,False
Student 95,19990531-0094,10054,2017,False
Student 96,19970408-0095,10011,2019,False
Student 97,19990427-0096,10033,2019,False
Student 98,19990518-0097,10074,2019,False
Student 99,19960704-0098,10001,2016,False
Student 100,19960621-0099,10014,2019,False
Student 101,19980203-0100,10074,2016,False
Student 102,19960101-0101,10034,2019,False
Student 103,19950821-0102,10011,2019,False
Student 104,19970806-0103,10032,2020,False
Student 105,19960123-0104,10061,2021,False
Student 106,19970630-0105,10041,2020,False
Student 107,19950316-0106,10042,2019,False
Student 108,19981226-0107,10032,2017,False
Student 109,19960818-0108,10054,2021,False
Student 110,19970805-0109,10042,2016,False
Student 111,19960118-0110,10072,2019,False
Student 112,19950511-0111,10021,2017,False
Student 113,19990530-0112,10073,2021,False
Student 114,19961117-0113,10001,2020,False
Student 115,19981221-0114,10013,2017,False
Student 116,19950924-0115,10053,2019,False
Student 117,19970112-0116,10072,2021,False
Student 118,19960911-0117,10012,2019,False
Student 119,19970925-0118,10013,2018,False
Student 120,19961108-0119,10041,2020,False
Student 121,19960829-0120,10054,2019,False
Student 122,19990317-0121,10033,2021,False
Student 123,19990521-0122,10073,2017,False
Student 124,19950709-0123,10013,2021,False
Student 125,19950214-0124,10074,2020,False
Student 126,19950817-0125,10054,2018,False
Student 127,19990405-0126,10054,2020,False
Student 128,19970422-0127,10014,2018,False
Student 129,19950225-0128,10033,2016,False
Student 130,19980410-0129,10054,2016,False
Student 131,19980617-0130,10033,2019,False
Student 132,19970117-0131,10011,2020,False
Student 133,19950225-0132,10012,2019,False
Student 134,19961005-0133,10031,2016,False
Student 135,19960809-0134,10001,2017,False
Student 136,19990713-0135,10012,2019,False
Student 137,19990626-0136,10074,2018,False
Student 138,19980203-0137,10014,2016,False
Student 139,19980720-0138,10042,2016,False
Student 140,19951130-0139,10073,2018,False
Student 141,19950317-0140,10013,2018,False
Student 142,19980421-0141,10032,2016,False
Student 143,19960406-0142,10072,2020,False
Student 144,19950604-0143,10072,2021,False
Student 145,19971113-0144,10071,2017,False
Student 146,19980928-0145,10071,2021,False
Student 147,19970619-0146,10072,2018,False
Student 148,19980920-0147,10013,2019,False
Student 149,19950818-0148,10061,2021,False
Student 150,19980804-0149,10041,2019,False
Student 151,19950331-0150,10073,2019,False
Student 152,19960607-0151,10052,2019,False
Student 153,19961024-0152,10072,2018,False
Student 154,19961222-0153,10074,2017,False
Student 155,19990226-0154,10052,2017,False
Student 156,19980329-0155,10054,2017,False
Student 157,19990116-0156,10074,2020,False
Student 158,19980709-0157,10021,2018,False
Student 159,19970510-0158,10033,2016,False
Student 160,19951130-0159,10034,2020,False
Student 161,19960901-0160,10012,2019,False
Student 162,19960912-0161,10014,2018,False
Student 163,19971106-0162,10042,2021,False
Student 164,19990518-0163,10061,2017,False
Student 165,19960523-0164,10034,2016,False
Student 166,19980712-0165,10012,2021,False
Student 167,19970524-0166,10032,2019,False
Student 168,19990307-0167,10032,2021,False
Student 169,19960221-0168,10054,2017,False
Student 170,19970404-0169,10014,2021,False
Student 171,19970318-0170,10031,2016,False
Student 172,19950925-0171,10052,2017,False
Student 173,19950427-0172,10073,2018,False
Student 174,19970118-0173,10014,2020,False
Student 175,19990708-0174,10072,2017,False
Student 176,19960216-0175,10031,2020,False
Student 177,19950913-0176,10052,2019,False
Student 178,19970822-0177,10011,2021,False
Student 179,19960224-0178,10074,2021,False
Student 180,19950831-0179,10053,2016,False
Student 181,19961009-0180,10071,2021,False
Student 182,19950912-0181,10073,2016,False
Student 183,19980926-0182,10041,2021,False
Student 184,19950707-0183,10042,2020,False
Student 185,19980628-0184,10041,2019,False
Student 186,19950212-0185,10042,2016,False
Student 187,19970907-0186,10071,2018,False
Student 188,19980219-0187,10014,2017,False
Student 189,19970601-0188,10041,2020,False
Student 190,19980928-0189,10013,2018,False
Student 191,19980617-0190,10072,2020,False
Student 192,19990709-0191,10041,2017,False
Student 193,19990624-0192,10052,2019,False
Student 194,19951001-0193,10013,2016,False
Student 195,19980906-0194,10041,2019,False
Student 196,19980824-0195,10011,2018,False
Student 197,19970416-0196,10033,2018,False
Student 198,19970121-0197,10021,2021,False
Student 199,19981018-0198,10042,2019,False
Student 200,19990323-0199,10012,2017,False
Student 1,19891205-0000,10012,2010,True
Student 2,19880117-0001,10021,2010,True
Student 3,19860309-0002,10021,2014,True
Student 4,19850305-0003,10032,2015,True
Student 5,19860211-0004,10042,2012,True
Student 6,19880122-0005,10053,2014,True
Student 7,19850603-0006,10041,2013,True
Student 8,19860222-0007,10054,2014,True
Student 9,19860330-0008,10012,2010,True
Student 10,19861018-0009,10074,2012,True
Student 11,19860829-0010,10074,2013,True
Student 12,19850527-0011,10013,2012,True
Student 13,19891217-0012,10051,2014,True
Student 14,19870613-0013,10051,2010,True
Student 15,19861017-0014,10011,2012,True
Student 16,19860125-0015,10042,2011,True
Student 17,19871102-0016,10014,2011,True
Student 18,19870714-0017,10013,2012,True
Student 19,19850426-0018,10071,2012,True
Student 20,19870816-0019,10071,2011,True
Student 21,19880404-0020,10074,2014,True
Student 22,19860729-0021,10011,2010,True
Student 23,19850205-0022,10053,2011,True
Student 24,19891130-0023,10072,2014,True
Student 25,19860208-0024,10073,2011,True
Student 26,19851213-0025,10071,2014,True
Student 27,19870624-0026,10072,2010,True
Student 28,19870406-0027,10052,2011,True
Student 29,19870512-0028,10052,2013,True
Student 30,19890225-0029,10021,2010,True
Student 31,19880205-0030,10042,2011,True
Student 32,19870215-0031,10073,2015,True
Student 33,19890513-0032,10021,2011,True
Student 34,19881204-0033,10041,2014,True
